City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Bengkulu,ID,75.24,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
10,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
11,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
16,Isangel,VU,82.51,overcast clouds,-19.55,169.2667,Tanna Lodge
18,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
21,Dingle,PH,75.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
24,Georgetown,MY,80.24,few clouds,5.4112,100.3354,Cititel Penang
25,Hithadhoo,MV,80.64,scattered clouds,-0.6,73.0833,Scoop Guest House
27,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
28,Tuburan,PH,80.83,overcast clouds,6.6439,122.2736,GT Site
32,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
34,Mecca,SA,78.94,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
40,Nanakuli,US,82.35,clear sky,21.3906,-158.1547,Camp Pālehua
44,Thinadhoo,MV,81.03,broken clouds,0.5333,72.9333,
45,Eyl,SO,78.35,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
50,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
51,Sao Felix Do Xingu,BR,76.3,moderate rain,-6.6447,-51.995,Rio Xingu Camping
59,Providencia,MX,78.42,clear sky,28.7167,-111.5833,
62,Pala,TD,76.3,broken clouds,9.3642,14.9046,Hotel Pala Palace
67,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
69,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
71,Kavieng,PG,82.09,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
81,Wanning,CN,75.81,scattered clouds,18.8003,110.3967,Paradise Hotel
89,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
93,Butaritari,KI,80.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
95,Ugoofaaru,MV,80.02,scattered clouds,5.6667,73.0,Ungoofaaru Inn
96,Lagos,NG,82.72,clear sky,6.5833,3.75,
99,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
100,Hirara,JP,77.38,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
108,Sao Filipe,CV,77.74,scattered clouds,14.8961,-24.4956,Hotel Xaguate
113,Paragominas,BR,81.81,broken clouds,-2.9667,-47.4833,INOVA
118,Kieta,PG,81.05,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
121,Dhidhdhoo,MV,80.58,few clouds,6.8833,73.1,Dhidhoo beach
125,Alyangula,AU,83.19,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
131,Lazaro Cardenas,MX,84.04,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
132,Port Moresby,PG,78.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
142,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
144,Atambua,ID,75.43,overcast clouds,-9.1061,124.8925,Ros Muskanan
145,Itarema,BR,79.47,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
147,Cayenne,GF,86.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
148,Charters Towers,AU,75.74,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
150,Porto Velho,BR,77.05,thunderstorm with heavy rain,-8.7619,-63.9039,Ecos Hotel Conforto
152,Vanimo,PG,77.23,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
156,Innisfail,AU,77.63,clear sky,-17.5333,146.0333,Moondarra Motel
157,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
175,Adrar,MR,77.88,clear sky,20.5022,-10.0711,
183,Mumford,GH,78.75,light rain,5.2618,-0.759,Peace Guest House
188,Caravelas,BR,75.15,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
193,Mandiana,GN,78.96,overcast clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
198,Faanui,PF,79.02,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
199,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
200,Alice Town,BS,78.75,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
203,Catuday,PH,77.92,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
206,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
208,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
209,Sabang,ID,80.69,overcast clouds,5.8933,95.3214,Hotel Citra
215,Kyabe,TD,78.51,overcast clouds,9.4515,18.9449,
220,Biltine,TD,75.02,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
223,Sattahip,TH,82.98,mist,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
225,Namatanai,PG,80.65,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
227,Padang,ID,75.11,light rain,-0.9492,100.3543,Mercure Padang
