City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,57.79,70,91,3.69,overcast clouds
1,Russell,US,32.3502,-85.1999,58.28,44,0,12.66,clear sky
2,Phultala,BD,22.7,89.5167,63.77,59,0,6.02,clear sky
3,Burgeo,CA,47.6167,-57.6152,35.47,67,99,5.01,overcast clouds
4,San Patricio,US,28.017,-97.5169,51.67,63,100,11.61,overcast clouds
5,Yerbogachen,RU,61.2767,108.0108,7.97,96,100,1.45,overcast clouds
6,Muros,ES,42.7762,-9.0603,63.14,86,100,16.84,overcast clouds
7,College,US,64.8569,-147.8028,13.59,83,20,0.0,few clouds
8,Bengkulu,ID,-3.8004,102.2655,75.24,97,100,15.66,light rain
9,Te Anau,NZ,-45.4167,167.7167,55.94,90,100,1.16,overcast clouds
10,Avarua,CK,-21.2078,-159.775,78.85,61,43,16.11,scattered clouds
11,Riyadh,SA,24.6877,46.7219,77.14,28,8,10.69,clear sky
12,Dikson,RU,73.5069,80.5464,-5.3,100,100,8.99,overcast clouds
13,Cherskiy,RU,68.75,161.3,-0.38,91,100,10.98,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,55.06,44,40,6.91,scattered clouds
15,Albany,US,42.6001,-73.9662,40.57,83,85,3.0,overcast clouds
16,Isangel,VU,-19.55,169.2667,82.51,69,89,2.3,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,73.99,90,100,26.06,light rain
18,Atuona,PF,-9.8,-139.0333,77.92,75,2,13.29,clear sky
19,Qaanaaq,GL,77.484,-69.3632,-1.73,98,100,3.22,overcast clouds
20,Bluff,NZ,-46.6,168.3333,58.8,92,100,8.14,overcast clouds
21,Dingle,PH,10.9995,122.6711,75.81,94,88,7.14,overcast clouds
22,Cape Town,ZA,-33.9258,18.4232,63.27,69,0,12.66,clear sky
23,Kaitangata,NZ,-46.2817,169.8464,53.49,98,100,2.44,overcast clouds
24,Georgetown,MY,5.4112,100.3354,80.24,95,20,0.0,few clouds
25,Hithadhoo,MV,-0.6,73.0833,80.64,77,38,10.65,scattered clouds
26,Carnarvon,AU,-24.8667,113.6333,67.06,66,100,15.17,overcast clouds
27,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
28,Tuburan,PH,6.6439,122.2736,80.83,78,100,4.59,overcast clouds
29,Eureka,US,40.8021,-124.1637,64.2,78,0,3.0,clear sky
30,Khatanga,RU,71.9667,102.5,-17.57,99,98,4.47,overcast clouds
31,Tasiilaq,GL,65.6145,-37.6368,32.16,98,100,14.32,snow
32,Vaini,TO,-21.2,-175.2,78.96,78,20,2.3,few clouds
33,Maizieres-Les-Metz,FR,49.2075,6.1605,51.39,93,100,12.26,light rain
34,Mecca,SA,21.4267,39.8261,78.94,69,53,2.24,broken clouds
35,Upernavik,GL,72.7868,-56.1549,12.07,92,99,10.74,overcast clouds
36,Ballina,AU,-28.8667,153.5667,61.02,66,99,12.12,overcast clouds
37,Esperance,AU,-33.8667,121.9,60.69,71,100,23.42,light rain
38,Caernarfon,GB,53.1413,-4.2702,47.62,63,100,9.22,overcast clouds
39,Ust-Nera,RU,64.5667,143.2,-16.35,97,99,2.46,overcast clouds
40,Nanakuli,US,21.3906,-158.1547,82.35,52,0,11.5,clear sky
41,Saint-Francois,FR,46.4154,3.9054,53.04,71,0,6.91,clear sky
42,Baruun-Urt,MN,46.6806,113.2792,26.26,41,82,9.71,broken clouds
43,Punta Arenas,CL,-53.15,-70.9167,57.31,38,75,21.85,broken clouds
44,Thinadhoo,MV,0.5333,72.9333,81.03,75,80,11.68,broken clouds
45,Eyl,SO,7.9803,49.8164,78.35,76,4,16.35,clear sky
46,Beringovskiy,RU,63.05,179.3167,30.29,93,100,4.76,overcast clouds
47,East London,ZA,-33.0153,27.9116,67.98,73,89,3.71,overcast clouds
48,Kraskino,RU,42.7114,130.7794,34.32,59,1,4.38,clear sky
49,Raudeberg,NO,61.9875,5.1352,51.87,29,0,8.61,clear sky
50,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,75,14.97,broken clouds
51,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.3,94,100,0.87,moderate rain
52,Erzin,TR,36.9559,36.2,57.67,76,82,4.41,light rain
53,Wodonga,AU,-36.1167,146.8833,49.96,100,4,3.29,clear sky
54,Kidal,ML,18.4411,1.4078,74.44,15,99,9.89,overcast clouds
55,Vila Praia De Ancora,PT,41.811,-8.8526,62.11,91,99,9.35,overcast clouds
