City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-11-13 20:12:03,-34.5322,20.0403,59.23,82,0,1.83
1,East London,ZA,2022-11-13 20:12:04,-33.0153,27.9116,64.0,76,5,12.28
2,Ushuaia,AR,2022-11-13 20:12:04,-54.8,-68.3,56.86,47,20,13.8
3,Bluff,NZ,2022-11-13 20:12:04,-46.6,168.3333,49.64,78,25,6.64
4,Hithadhoo,MV,2022-11-13 20:12:05,-0.6,73.0833,81.25,77,100,13.42
5,Cabo San Lucas,MX,2022-11-13 20:08:39,22.8909,-109.9124,82.62,65,40,11.5
6,Airai,TL,2022-11-13 20:10:56,-8.9266,125.4092,61.47,90,100,1.48
7,Santiago Del Estero,AR,2022-11-13 20:12:05,-27.7951,-64.2615,80.47,38,16,14.81
8,Srednekolymsk,RU,2022-11-13 20:12:06,67.45,153.6833,-18.26,94,99,2.33
9,Albany,US,2022-11-13 20:10:52,42.6001,-73.9662,45.95,66,77,1.01
10,Saint George,US,2022-11-13 20:07:17,37.1041,-113.5841,48.43,48,100,4.0
11,Jamestown,US,2022-11-13 20:12:06,42.097,-79.2353,35.71,78,100,10.36
12,Vanimo,PG,2022-11-13 20:12:07,-2.6741,141.3028,77.67,89,98,3.56
13,Inta,RU,2022-11-13 20:12:07,66.0317,60.1659,14.2,96,100,3.56
14,Souillac,MU,2022-11-13 20:09:49,-20.5167,57.5167,72.7,72,0,3.78
15,Busselton,AU,2022-11-13 20:12:07,-33.65,115.3333,47.26,84,0,9.69
16,Luderitz,NA,2022-11-13 20:12:08,-26.6481,15.1594,63.0,72,0,17.72
17,Arlit,NE,2022-11-13 20:12:08,18.7369,7.3853,75.87,17,12,12.44
18,Castro,BR,2022-11-13 20:10:28,-24.7911,-50.0119,71.35,77,62,11.99
19,Limbang,MY,2022-11-13 20:12:09,4.75,115.0,77.11,97,100,1.5
20,Tuktoyaktuk,CA,2022-11-13 20:12:09,69.4541,-133.0374,15.8,92,100,6.91
21,Karla,EE,2022-11-13 20:12:09,59.3723,24.9275,42.76,87,0,3.44
22,Atuona,PF,2022-11-13 20:08:34,-9.8,-139.0333,77.54,79,5,19.08
23,Eenhana,NA,2022-11-13 20:12:10,-17.4667,16.3333,74.73,14,3,6.71
24,Port Alfred,ZA,2022-11-13 20:12:10,-33.5906,26.891,57.18,89,4,10.96
25,Carnarvon,AU,2022-11-13 20:12:10,-24.8667,113.6333,67.14,69,0,17.02
26,Chipata,ZM,2022-11-13 20:12:11,-13.6333,32.65,76.62,43,100,3.83
27,Lebu,CL,2022-11-13 20:12:11,-37.6167,-73.65,58.98,81,35,10.87
28,Santa Cruz,BO,2022-11-13 20:11:30,-17.8,-63.1667,90.86,52,40,19.57
29,Zyryanka,RU,2022-11-13 20:12:12,65.75,150.85,-27.83,96,30,7.11
30,Chokurdakh,RU,2022-11-13 20:08:33,70.6333,147.9167,-30.59,100,91,5.19
31,Tomatlan,MX,2022-11-13 20:12:12,19.9333,-105.25,86.09,46,4,6.87
32,Georgetown,MY,2022-11-13 20:10:43,5.4112,100.3354,80.24,91,40,0.0
33,Hastings,GB,2022-11-13 20:12:12,50.8552,0.5729,55.78,94,36,10.4
34,Doka,SD,2022-11-13 20:12:13,13.5167,35.7667,81.32,42,0,8.48
35,Yellowknife,CA,2022-11-13 20:07:59,62.456,-114.3525,26.56,92,7,5.01
36,Ribeira Grande,PT,2022-11-13 20:12:13,38.5167,-28.7,64.8,72,40,17.27
37,Sitka,US,2022-11-13 20:12:14,57.0531,-135.33,48.09,93,100,10.36
38,Hermanus,ZA,2022-11-13 20:12:14,-34.4187,19.2345,55.8,84,0,3.29
39,Dikson,RU,2022-11-13 20:12:14,73.5069,80.5464,-3.6,100,100,8.77
40,Itarema,BR,2022-11-13 20:12:15,-2.9248,-39.9167,81.28,75,6,17.45
41,Bethel,US,2022-11-13 20:12:15,41.3712,-73.414,52.54,58,100,12.66
42,Shemgang,BT,2022-11-13 20:12:15,27.2169,90.6579,43.2,87,5,5.21
